name	taxonomy_id	taxonomic_lineage
Campylobacterales	213849	d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__;f__;g__
Nautiliales	235899	d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__;f__;g__
Myxococcales	29	d__Bacteria;p__Myxococcota;c__Myxococcia;o__;f__;g__
Polyangiales	3031712	d__Bacteria;p__Myxococcota;c__;o__;f__;g__
Nannocystales	3031713	d__Bacteria;p__Myxococcota;c__;o__;f__;g__
Haliangiales	3031714	d__Bacteria;p__Myxococcota;c__;o__;f__;g__
Desulfovibrionales	213115	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__;f__;g__
Desulfobacterales	213118	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobacteria;o__;f__;g__
Geobacterales	3031668	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfuromonadia;o__;f__;g__
Desulfuromonadales	69541	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfuromonadia;o__;f__;g__
Desulfobulbales	3024411	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobulbia;o__;f__;g__
Spirochaetales	136	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__;f__;g__
Leptospirales	1643688	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__;f__;g__
Terriglobales	204433	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__;f__;g__
Vicinamibacterales	2910145	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__;f__;g__
Bacteriovoracales	2024979	d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__;f__;g__
Bdellovibrionales	213481	d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__;f__;g__
Thermotogales	2419	d__Bacteria;p__Thermotogota;c__Thermotogae;o__;f__;g__
Petrotogales	1643947	d__Bacteria;p__Thermotogota;c__Thermotogae;o__;f__;g__
Synergistales	649776	d__Bacteria;p__Synergistota;c__Synergistia;o__;f__;g__
Desulfurobacteriales	1485951	d__Bacteria;p__Aquificota;c__Aquificae;o__;f__;g__
Deferribacterales	191393	d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__;f__;g__














