name	taxonomy_id	taxonomic_lineage
Metamycoplasmataceae	2895623	d__Bacteria;p__Mycoplasmatota;c__;o__Mycoplasmoidales;f__;g__
Deinococcaceae	183710	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__;g__
Thermaceae	188786	d__Bacteria;p__Deinococcota;c__Deinococci;o__Thermales;f__;g__
Dehalococcoidaceae	1202464	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__;g__
Anaerolineaceae	292628	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__;g__
Pseudomonadaceae	135621	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__;g__
Marinobacteraceae	2887365	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__;g__
Enterobacteriaceae	543	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__;g__
Yersiniaceae	1903411	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__;g__
Pectobacteriaceae	1903410	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__;g__
Erwiniaceae	1903409	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__;g__
Morganellaceae	1903414	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__;g__
Bruguierivoracaceae	2812006	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__;g__
Hafniaceae	1903412	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__;g__
Xanthomonadaceae	32033	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__;g__
Rhodanobacteraceae	1775411	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__;g__
Halomonadaceae	28256	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Oceanospirillales;f__;g__
Alcanivoracaceae	224372	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Oceanospirillales;f__;g__
Endozoicomonadaceae	2066474	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Oceanospirillales;f__;g__
Oceanospirillaceae	135620	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Oceanospirillales;f__;g__
Vibrionaceae	641	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Vibrionales;f__;g__
Aeromonadaceae	84642	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Aeromonadales;f__;g__
