rn	L1	L2	L3	L4	L5	L6	L7	L8	L9	L10	MG1	MG2	MG3	MG4	MG5	MG6	MG7	MG8	MG9	MG10	MG11	MG12	MG13	MG14	MG15	MG16	MG17	MG18	MG19	MG20	MG21	MG22	MG23	MG24	MG25	MG26	MG27	MG28	MG29	MG30	MG31	MG32	MG33	MG34	MG35	MG36	MG37	MG38	MG39	MG40	MG41	MG42	MG43	MG44	MG45	MG46	MG47	MG48	MG49	MG50	MG51	MG52	MG53	MG54	MG55	MG56	MG57	MG58	MG59	MG60	MG61	MG62	MG63	MG64	MG65	MG66	MG67	MG68	MG69	MG70	MG71	MG72	MG73	MG74	MG75	MG76	MG77	MG78	MG79	MG80	MG81	MG82	MG83	MG84	MG85
MG28	0.006855632361519672	0.005998563563574372	0.00531348325448569	0.006067622483258195	0.005631375080885842	0.004996807116962159	0.005034345049523538	0.00528562529132941	0.00575522524235501	0.0055719995930759185	0.005269169153409695	0.005217513141870188	0.005519020090909743	0.005452111951150448	0.005287567187516043	0.005198601368426123	0.006384202643065448	0.00499214875350902	0.005959516075088547	0.005745020223187525	0.004987727927314673	0.005112021724196245	0.005222330211203067	0.005302350178278538	0.004985458419577714	0.005742205887204526	0.0053802623763285415	0.004915363032745954	0.005529732294323536	0.004745884480467954	0.005575971499139626	0.005386980675525095	0.005507720571402096	0.004689190008047423	0.006010914966276554	0.005278821249087904	0.006454630686357029	0																																																									
MG29	0.006764625536270622	0.006029356281001845	0.005688286243281132	0.006063847104334574	0.005422066018650827	0.005364597792645299	0.005508497098658128	0.005479325307126589	0.005424861214283269	0.0058038951771025625	0.005556730151832399	0.005480186524042641	0.005854456625206853	0.005398278720300932	0.005333832708133078	0.005355918173043055	0.0064533887361837685	0.005739721497533632	0.005791857442984463	0.0056646864478095875	0.005625648411095832	0.0056838571928698985	0.005107656726952682	0.005524104242948966	0.005053414574549333	0.005732195052487451	0.005460538435853698	0.005130213656612793	0.005618234240697178	0.005111184252216547	0.006187501855403153	0.005628188986896367	0.005474309919249644	0.00501649092339268	0.0063344277077474155	0.005167525280430913	0.006359386870559993	0.005356393304865246	0																																																								
MG30	0.006339674062447335	0.005461580349664471	0.005074878718443175	0.005679141965692192	0.004750823302582381	0.004585710048253852	0.004978181072918464	0.004476649334986421	0.004895165557191386	0.005519494127906296	0.004688493212089065	0.004804887698010746	0.005711472955320146	0.004886668297101421	0.004921241033433369	0.004960205420064604	0.005860948998091488	0.004865717013698676	0.005046642759187389	0.004846870589847305	0.004741167187018103	0.0048536277563468065	0.004747307054123378	0.004583893720864002	0.004708978410726486	0.0047695347838379535	0.004830538910514274	0.0044036524050020814	0.004818553430618613	0.004461425825235173	0.005218217638807117	0.004724260134976074	0.004864240812399954	0.0044809754359540314	0.00565172996052437	0.004763132042586871	0.00606807367970282	0.004715628834433521	0.0048419895787610075	0																																																							
MG31	0.006115285257159001	0.005982335531203952	0.005254109626273392	0.005835591452035888	0.005150009779271926	0.004725297922565376	0.00527692914222007	0.005071880295970658	0.005397013068436772	0.005267224129424828	0.004842521687700949	0.004742741134458523	0.005233485515784481	0.005363454063990423	0.004769167405938801	0.005003800316894119	0.006203706858198627	0.005081880742563554	0.005696443879251343	0.005262287640755187	0.00508993693746183	0.005137720089595332	0.00486750450061429	0.005169880150145456	0.004688133242663845	0.005154176286844863	0.004819175656821321	0.0048248588995667115	0.004926593869771062	0.004486415138696889	0.005721688689054459	0.004903293598988995	0.0051116026006699355	0.004528851325242391	0.005689984770247805	0.0046425060416229015	0.006052970814069033	0.005255048184189579	0.004901572803247444	0.004469376027760691	0																																																						
MG32	0.006535326754034711	0.005420228751462492	0.005194660937077846	0.005617773548682203	0.005027130698994197	0.004520575443279506	0.004916839959228483	0.004687817314353033	0.00548601191636166	0.005059514389325525	0.004685104517580441	0.005111096119166141	0.005326016220193918	0.005284946505209611	0.004756379264593164	0.005048708645993789	0.005971482048253881	0.004733279497128939	0.005603724629488769	0.00473624788631959	0.0047705983015539945	0.005125643332570916	0.004542813545879553	0.0046764889195536515	0.0045289845627261415	0.005378867624576191	0.004820182099631388	0.004122830248829033	0.0047595509331443235	0.004123411795397302	0.00533379037249572	0.004881621821366913	0.00509868465596036	0.004651423405456403	0.005525752918173637	0.0045650057671594	0.005936829553405442	0.004599766383548789	0.005124241820969446	0.004140191024200197	0.004568391456886847	0																																																					
MG33	0.007102123094882396	0.005676577253613412	0.005690356577901846	0.005405448296112374	0.005612856945676844	0.005829735193924683	0.00541763849649912	0.0052814592545156165	0.00578322371234596	0.006181209202397406	0.005809603045830778	0.0054142531113619	0.0061121526418090825	0.005455221860487518	0.005134647160777257	0.0054639957087923244	0.00644198186692293	0.0054966587844954866	0.005939542836610639	0.005148672897562006	0.005420379082921303	0.006101928474811055	0.005606257546753986	0.005567483232349205	0.0053015907622432365	0.005740883865606652	0.005301701318144547	0.005193827425439195	0.00576449347971901	0.004908119382707097	0.00581728127129535	0.005374651309848102	0.005940499865681509	0.004960500613991841	0.00599277623650878	0.005668619081584627	0.00618900367285671	0.005277573736236858	0.005905632974321997	0.004924355855112818	0.005256600574157356	0.004914176924869356	0																																																				
MG34	0.00668479484342254	0.005780710929943748	0.005358510322781295	0.00576567987760833	0.005588871511027516	0.005092240816419851	0.00548831323565888	0.00526732819308107	0.005640084866326965	0.0053621413786793595	0.005212131895693797	0.005266878808390666	0.005492106745307204	0.005352178386242138	0.005004012587719744	0.005654762305627691	0.006067787733396429	0.005012969612520909	0.005625614757487153	0.00549089892003899	0.00533862295129332	0.005488813745483802	0.004928714916892449	0.005248735265272876	0.005033847856742676	0.005366775522123018	0.0052989620592568355	0.004637404384521122	0.005549537450281984	0.004622106759591572	0.005902034608111373	0.005220086207498315	0.005587650461448173	0.00481003819360157	0.006153100290186648	0.004830099428152377	0.006372397072951355	0.004827631208045152	0.0052047454170364585	0.004686880041413872	0.005045579129626613	0.004360680575103456	0.005581344878272668	0																																																			
MG35	0.006659361664276664	0.005990776017645676	0.005290034040267841	0.006171041625296572	0.005457810046092588	0.005322044296491053	0.005085106136748965	0.005353530503016009	0.005523740524859041	0.005466898189026448	0.005408180351859443	0.005492522947887442	0.00600243673574465	0.00553874978929859	0.005320500149621643	0.005436772613926939	0.0062110463971159924	0.00499686094140555	0.005932001229899166	0.0053629811973671775	0.005141614782627765	0.0057534697227609	0.005021690962451054	0.005436740968081971	0.005060436742592761	0.005329021139572902	0.00524201200649363	0.004938175122827733	0.005702864241571144	0.004915489141904538	0.005598279507769799	0.005259620401812179	0.0052030795770268	0.005150282924028842	0.0063655532384902	0.005387077715795865	0.006229408554435909	0.0048102607354212614	0.005441227041919582	0.004907479902234251	0.004954718763436579	0.004690397496450806	0.0051180724994098125	0.004987502337771598	0																																																		
MG36	0.006727441761352366	0.005482257794083958	0.005426581965758158	0.005436236843630165	0.005148951124320924	0.004944324787780992	0.00499556653901151	0.004699749016421532	0.005442708433979426	0.005370321157114691	0.0053190156792872504	0.004942255471899769	0.005537625557213665	0.004832057902327407	0.005037787269131581	0.005301393855592531	0.0060918322261310715	0.0048097322432504985	0.005926689312032015	0.005205019035208439	0.004971452508132443	0.005187706781112168	0.004713383424161813	0.004911967965609539	0.004784435692675749	0.005460477649528061	0.004605565155408198	0.004393806566255566	0.005355000598425722	0.0047883637152484285	0.005848379651553154	0.005189752083400553	0.004923544291199769	0.00447846600501722	0.005975099047984212	0.004967379134033089	0.006375392908012029	0.004997320879869928	0.005216874386933616	0.004574778806800844	0.005021063506099714	0.00465595296038738	0.005149486231287863	0.005262720349242515	0.00514270817512709	0																																																	
MG37	0.00674328498202531	0.0064148533497203845	0.006565513307797494	0.006911556616792878	0.005987793268574213	0.0055857804724370255	0.005690860095862805	0.005635993326356894	0.005916410022368357	0.006232851702937473	0.005804245410370792	0.006436337605821488	0.006026092767496024	0.006334258947416418	0.005761047676673784	0.0060206848626437786	0.006707612843994118	0.005993525682567687	0.006546776870543729	0.006346385345512388	0.005746495289428388	0.006138617010942228	0.005441899961910543	0.005903624668620335	0.005889698729351115	0.006165791960780838	0.0056157153903091854	0.005479861612260612	0.005649460059719448	0.005492144831389862	0.006519266614975177	0.005810286601832218	0.005893611611197964	0.005462071889121146	0.006371276494899747	0.005431733593853188	0.007332447621456564	0.005904278866164983	0.006036608529571878	0.005321081973053661	0.005447442801044327	0.005157373020832634	0.006183859136660457	0.005562365359737708	0.005790177558831162	0.005942343267243692	0																																																
